nombre,codigo,precio_publico,precio_compra,precio_mayoreo,clave_sat,unidad_sat
VASO B&D ORIGINAL HOMES,BDLI018,118.76,51.19,81.94,40141700,H87
BANDA P/SECADORA SIRVE 341241,WISE007,107.74,51.6,82.6,40141700,H87
MANG. UNIVERSAL CORRUGADA 4 BOCAS,XLAV005,35.02,10.52,18.43,40141700,H87
KIT P/LICUADORA OSTER,OSLIKIT,50.0,15.0,30.0,40141700,H87
QUEMADOR C/TAPA P/IEM,IEES001,143.96,77.56,124.15,40141700,H87
TAPA  P/VASO RIVAL,RILI002,15.0,5.61,10.0,40141700,H87
VASO PLASTICO RIVAL,RILI001,60.0,24.0,40.0,40141700,H87
VALVULA P/ESTUFA C/SALIDA 1/4,XEST015,160.0,63.51,120.0,40141600,H87
EMPAQUE B&D ORIG.MOD HOMES,BDLI021,5.11,1.02,2.35,40141700,H87
PORTAVASO PLASTICO HAMILTON MOD.,HALI016,35.0,14.1,25.0,40141700,H87
VASO CRISTAL HAMILTON BEACH,HALI010,250.0,125.0,200.0,40141700,H87
BANDA P/MOTOR EASY 3L 390 RO,EALA403,20.0,5.5,10.52,40141700,H87
DIAFRAGMA HAMILTON INOXIDABLE,HALI013,100.0,45.0,80.0,40141700,H87
QUEMADOR  H  C/CODO 30CM,XGAS066,127.39,54.91,95.55,40141700,H87
PERILLA P/PROPELA MOD LCI CINSASA,CILA047,7.34,2.11,4.41,40141700,H87
DISCO AGITADOR LCI T/HONGO,CILA048,51.57,22.42,38.67,40141700,H87
DIAFRAGMA RIVAL (COPLE T/DADO),RILI003,52.87,22.79,36.48,40141700,H87
DIAFRAGMA TAURUS COPLE CHICO,TALI224,60.0,32.5,50.0,40141700,H87
COPLE EUROBLENDER D/MOTOR C/V,PHLI045,7.71,1.33,3.09,40141700,H87
EMPAQUE B&D CHICO,BDLI012,10.0,2.12,6.0,40141700,H87
PERILLA DE METAL P/PROGRAMADOR,ACLA031,583.67,251.58,402.73,40141700,H87
MANG. DOBLE CURVA C/POSTIZO CORTA,GELA023,70.33,30.58,55.57,40141700,H87
BANDA P/WHITE WESTINGHOUSE 622451,WWLA001,119.71,51.6,83.8,40141700,H87
VASO PLASTICO PHILIPS TOP,PHLI058,65.0,21.4,45.0,40141700,H87
BLOCK P/ KELVINATOR,KELA003,93.23,45.04,71.48,40141700,H87
RESISTENCIA ELECTRICA P/REG.,XCAL018,70.0,28.82,60.0,26121501,H87
PORTAVASO B&D PARTE INF. CUADRADO,BDLI010,35.0,13.11,25.0,52151500,H87
CARBONES B&D P/PULIDORA,BDTA004,25.02,9.63,16.76,40141700,H87
CARBONES P/PULIDORA BOSCH C/ZAP,BOPU001,25.16,7.23,16.77,40141700,H87
DIAFRAGMA PLASTICO P/OSTER,OSLI160,21.82,9.36,14.99,40141700,H87
PORTAVASO P/TX 2000,PHLI030,14.05,4.34,9.62,40141700,H87
DIAFRAGMA TAURUS CUERDA EXT.,TALI218,65.0,28.17,45.0,40141700,H87
QUEMADOR ESTRELLA C/CODO 30CM,XGAS071,275.0,118.29,206.0,41102401,H87
COPLE VENTILADOR MOTOR B&D,BDLI001,50.0,15.0,30.0,40141700,H87
TAPA P/VASO TAURUS CUERDA INT.,TALI219,20.45,8.2,14.27,40141700,H87
JUEGO MANGOS PRESTO ANTIGUO,PROE040,96.77,41.71,66.77,40141700,H87
VASO CRISTAL TIPO OSTER,OSLI497,200.0,29.43,150.0,52152001,H87
EMPAQUE T/PRESTO PREMIER 6 L,PROE022,75.0,26.6,47.0,31401501,H87
IMAN P/PERFIL GRUESO (MTO),XREF016,60.0,8.87,40.0,40141700,MTR
PERILLA BLANCA MABE,MBES601,15.0,5.1,10.0,40141700,H87
JGO. MANGUERAS LLENADO 1.20 M,LGLA025,98.34,47.1,76.49,40141700,H87
EMPAQUE P/PRESTO 6 LTS. EXPORTACION,PROE014,26.13,7.51,16.11,40141700,H87
TAPA CON TAPON P/VASO CUBE N/O,OSLI114,0.0,0.0,0.0,40141700,H87
CAPACITOR 270-324,XCAP024,71.39,30.77,49.97,40141700,H87
CAPACITOR 340-408,XCAP025,80.2,34.57,56.14,40141700,H87
QUEMADOR  H  S/CODO 30CM PLANO 1 1/4,XGAS096,226.0,97.13,168.0,01010101,H87
VASO TAURUS CUERDA INT. CAL. ROSAN,TALI216,47.77,17.6,30.62,40141700,H87
TUBO ALIMENTADOR LARGO ACROS,ACES041,65.0,25.62,49.0,40141700,H87
TUBO ALIMENTADOR CORTO ACROS,ACES042,100.0,38.49,75.0,40141700,H87
TUBO ALIMENTADOR LARGO MABE,MBES064,100.0,45.0,80.0,40141700,H87
TUBO ALIMENTADOR CORTO KILIA,MBES067,100.0,45.0,80.0,40141700,H87
BOTON DE ENCENDIDO ESTUFA,MBES069,50.0,16.92,40.0,40141700,H87
PORTAVASO PLASTICO P/OSTER,OSLI176,10.5,3.44,7.18,40141700,H87
INDICADOR DE PRESION MODERNO EKCO,EKOE011,73.0,24.42,55.0,01010101,H87
VASO ARMADO TAURUS R/INT,TALIARMRI,163.0,70.5,112.0,40141700,H87
VASO ARMADO B & D HOME,BDLIARMH,219.28,95.34,151.31,40141700,H87
MANGUERA 3.00 MTS C/ROSCAS LATONADAS,WILA021,230.0,99.22,175.0,40142000,H87
TAPA B&D HOMES NO ORIGINAL,BDLI029,24.66,9.45,15.89,40141700,H87
VASO B&D HOMES NO ORIGINAL,BDLI028,54.33,22.41,37.69,40141700,H87
